model,displ,cyl,trans,drive,fuel,veh_class,smog_rating,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
NISSAN Sentra,1.8,4.0,CVT,2WD,Gasoline,midsize car,7,29,37,32,7,Yes
NISSAN Versa,1.6,4.0,CVT,2WD,Gasoline,small car,3,31,39,34,8,Yes
NISSAN Versa,1.6,4.0,CVT,2WD,Gasoline,small car,5,31,39,34,8,Yes
NISSAN Versa,1.6,4.0,Man-5,2WD,Gasoline,small car,3,27,36,30,7,Yes
NISSAN Versa,1.6,4.0,Man-5,2WD,Gasoline,small car,5,27,36,30,7,Yes
PORSCHE Cayenne S e-Hybrid,3.0,6.0,AutoMan-8,4WD,Gasoline/Electricity,standard SUV,3,21/47,24/46,22/47,8,Yes
PORSCHE Panamera 4 e-Hybrid,2.9,6.0,AMS-8,4WD,Gasoline/Electricity,large car,5,20/40,25/57,22/46,8,Yes
PORSCHE Panamera 4 e-Hybrid Executive,2.9,6.0,AMS-8,4WD,Gasoline/Electricity,large car,5,20/40,25/57,22/46,8,Yes
PORSCHE Panamera 4 e-Hybrid ST,2.9,6.0,AMS-8,4WD,Gasoline/Electricity,large car,5,20/40,25/57,22/46,8,Yes
PORSCHE Panamera Turbo S e-Hybrid,4.0,8.0,AMS-8,4WD,Gasoline/Electricity,large car,3,19/48,23/51,21/49,7,Yes
PORSCHE Panamera Turbo S e-Hybrid Exec,4.0,8.0,AMS-8,4WD,Gasoline/Electricity,large car,3,19/48,23/51,21/49,7,Yes
PORSCHE Panamera Turbo S e-Hybrid ST,4.0,8.0,AMS-8,4WD,Gasoline/Electricity,large car,3,19/48,23/51,21/49,7,Yes
SUBARU Impreza,2.0,4.0,SCV-7,4WD,Gasoline,midsize car,7,28,38,32,7,Yes
SUBARU Impreza,2.0,4.0,SCV-7,4WD,Gasoline,station wagon,7,28,37,31,7,Yes
SUBARU Impreza Sport,2.0,4.0,SCV-7,4WD,Gasoline,midsize car,7,27,36,30,7,Yes
SUBARU Impreza Sport,2.0,4.0,SCV-7,4WD,Gasoline,station wagon,7,27,35,30,7,Yes
TOYOTA Avalon Hybrid,2.5,4.0,SCV-6,2WD,Gasoline,midsize car,7,40,39,40,9,Yes
TOYOTA Camry,2.5,4.0,SemiAuto-8,2WD,Gasoline,midsize car,7,29,41,34,8,Yes
TOYOTA Camry Hybrid LE,2.5,4.0,SCV-6,2WD,Gasoline,midsize car,7,51,53,52,10,Elite
TOYOTA Camry Hybrid XLE/SE,2.5,4.0,SCV-6,2WD,Gasoline,midsize car,7,44,47,46,10,Elite
TOYOTA Camry LE/SE,2.5,4.0,SemiAuto-8,2WD,Gasoline,midsize car,7,28,39,32,7,Yes
TOYOTA Camry XLE/XSE,2.5,4.0,SemiAuto-8,2WD,Gasoline,midsize car,7,28,39,32,7,Yes
TOYOTA Corolla,1.8,4.0,CVT,2WD,Gasoline,midsize car,3,28,36,32,7,Yes
TOYOTA Corolla,1.8,4.0,Man-6,2WD,Gasoline,midsize car,3,27,35,30,7,Yes
TOYOTA Corolla,1.8,4.0,SCV-7,2WD,Gasoline,midsize car,3,28,35,31,7,Yes
