Model,Displ,Cyl,Trans,Drive,Fuel,Sales Area,Stnd,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay
CHEVROLET HHR,2.2,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8GMXV02.4032,SUV,7,20,30,24,7,yes
CHEVROLET HHR,2.2,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8GMXV02.4032,SUV,7,21,30,24,7,yes
CHEVROLET HHR,2.2,(4 cyl),Auto-L4,2WD,Gasoline,CA,U2,8GMXV02.4032,SUV,7,22,30,25,7,yes
CHEVROLET HHR,2.2,(4 cyl),Auto-L4,2WD,Gasoline,CA,U2,8GMXV02.4032,SUV,7,22,30,25,7,yes
CHEVROLET HHR,2.4,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8GMXV02.4032,SUV,7,20,28,23,7,yes
CHEVROLET HHR,2.4,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8GMXV02.4032,SUV,7,20,29,23,7,yes
CHEVROLET HHR,2.4,(4 cyl),Auto-L4,2WD,Gasoline,CA,U2,8GMXV02.4032,SUV,7,22,28,24,7,yes
CHEVROLET HHR,2.4,(4 cyl),Auto-L4,2WD,Gasoline,CA,U2,8GMXV02.4032,SUV,7,22,28,24,7,yes
CHEVROLET HHR,2.2,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8GMXV02.4032,SUV,6,20,30,24,7,yes
CHEVROLET HHR,2.2,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8GMXV02.4032,SUV,6,21,30,24,7,yes
CHEVROLET HHR,2.2,(4 cyl),Auto-L4,2WD,Gasoline,FA,B5,8GMXV02.4032,SUV,6,22,30,25,7,yes
CHEVROLET HHR,2.2,(4 cyl),Auto-L4,2WD,Gasoline,FA,B5,8GMXV02.4032,SUV,6,22,30,25,7,yes
CHEVROLET HHR,2.4,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8GMXV02.4032,SUV,6,20,28,23,7,yes
CHEVROLET HHR,2.4,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8GMXV02.4032,SUV,6,20,29,23,7,yes
CHEVROLET HHR,2.4,(4 cyl),Auto-L4,2WD,Gasoline,FA,B5,8GMXV02.4032,SUV,6,22,28,24,7,yes
CHEVROLET HHR,2.4,(4 cyl),Auto-L4,2WD,Gasoline,FA,B5,8GMXV02.4032,SUV,6,22,28,24,7,yes
CHEVROLET Impala,3.5,(6 cyl),Auto-L4,2WD,Gasoline,CA,SLEV,8GMXV03.8044,large car,9.5,18,29,22,6,yes
CHEVROLET Malibu,3.5,(6 cyl),Auto-L4,2WD,Gasoline,CA,U2,8GMXV03.5043,midsize car,7,18,29,22,6,yes
CHEVROLET Malibu,2.4,(4 cyl),Auto-L4,2WD,Gasoline,FA,B5,8GMXV02.4027,midsize car,6,22,30,25,7,yes
CHEVROLET Malibu,2.4,(4 cyl),Auto-L4,2WD,Gasoline,CA,L2,8GMXV02.4027,midsize car,6,22,30,25,7,yes
CHEVROLET Malibu Hybrid,2.4,(4 cyl),Auto-L4,2WD,Gasoline,FA,B5,8GMXV02.4040,midsize car,6,24,32,27,8,yes
CHEVROLET Malibu Hybrid,2.4,(4 cyl),Auto-L4,2WD,Gasoline,CA,L2,8GMXV02.4040,midsize car,6,24,32,27,8,yes
CHRYSLER 300,3.5,(6 cyl),Auto-L5,2WD,Gasoline,CA,U2,8CRXV0215M80,large car,7,17,24,20,6,yes
CHRYSLER 300,3.5,(6 cyl),Auto-L4,2WD,Gasoline,CA,U2,8CRXV0215M80,large car,7,17,24,20,6,yes
CHRYSLER PT Cruiser,2.4,(4 cyl),Auto-L4,2WD,Gasoline,CA,U2,8CRXV0148M80,SUV,7,18,24,21,6,yes
CHRYSLER PT Cruiser,2.4,(4 cyl),Auto-L4,2WD,Gasoline,CA,U2,8CRXV0148M80,SUV,7,19,24,21,6,yes
CHRYSLER PT Cruiser,2.4,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8CRXV0148M80,SUV,7,20,25,22,6,yes
CHRYSLER PT Cruiser,2.4,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8CRXV02.4ME3,SUV,6,21,26,23,7,yes
CHRYSLER PT Cruiser,2.4,(4 cyl),Man-5,2WD,Gasoline,CA,L2,8CRXV02.4ME3,SUV,6,21,26,23,7,yes
CHRYSLER PT Cruiser Convertible,2.4,(4 cyl),Auto-L4,2WD,Gasoline,CA,U2,8CRXV0148M80,small car,7,18,24,21,6,yes
CHRYSLER PT Cruiser Convertible,2.4,(4 cyl),Auto-L4,2WD,Gasoline,CA,U2,8CRXV0148M80,small car,7,19,24,21,6,yes
CHRYSLER PT Cruiser Convertible,2.4,(4 cyl),Man-5,2WD,Gasoline,CA,U2,8CRXV0148M80,small car,7,20,25,22,6,yes
CHRYSLER PT Cruiser Convertible,2.4,(4 cyl),Man-5,2WD,Gasoline,FA,B5,8CRXV02.4ME3,small car,6,21,26,23,7,yes
CHRYSLER PT Cruiser Convertible,2.4,(4 cyl),Man-5,2WD,Gasoline,CA,L2,8CRXV02.4ME3,small car,6,21,26,23,7,yes
CHRYSLER SRT-8,3.5,(6 cyl),Auto-L5,2WD,Gasoline,CA,U2,8CRXV0215M80,large car,7,17,24,20,6,yes
CHRYSLER SRT-8,3.5,(6 cyl),Auto-L4,2WD,Gasoline,CA,U2,8CRXV0215M80,large car,7,17,24,20,6,yes
CHRYSLER Sebring,2.4,(4 cyl),Auto-L4,2WD,Gasoline,CA,U2,8CRXB0144M80,midsize car,7,21,30,24,7,yes
CHRYSLER Sebring,2.4,(4 cyl),Auto-L4,2WD,Gasoline,FA,B5,8CRXB02.4ME0,midsize car,6,21,30,24,7,yes
CHRYSLER Sebring,2.4,(4 cyl),Auto-L4,2WD,Gasoline,CA,L2,8CRXB02.4ME0,midsize car,6,21,30,24,7,yes
CHRYSLER Sebring Convertible,2.4,(4 cyl),Auto-L4,2WD,Gasoline,CA,U2,8CRXB0144M80,small car,7,20,29,23,7,yes
CHRYSLER Sebring Convertible,2.4,(4 cyl),Auto-L4,2WD,Gasoline,FA,B5,8CRXB02.4ME0,small car,6,20,29,23,7,yes
CHRYSLER Sebring Convertible,2.4,(4 cyl),Auto-L4,2WD,Gasoline,CA,L2,8CRXB02.4ME0,small car,6,20,29,23,7,yes
DODGE Avenger,2.4,(4 cyl),Auto-L4,2WD,Gasoline,CA,U2,8CRXB0144M80,midsize car,7,21,30,24,7,yes
DODGE Avenger,2.4,(4 cyl),Auto-L4,2WD,Gasoline,FA,B5,8CRXB02.4ME0,midsize car,6,21,30,24,7,yes
DODGE Avenger,2.4,(4 cyl),Auto-L4,2WD,Gasoline,CA,L2,8CRXB02.4ME0,midsize car,6,21,30,24,7,yes
DODGE Caliber,2.4,(4 cyl),Auto-AV,4WD,Gasoline,CA,U2,8CRXB0144M81,midsize car,7,21,24,22,6,yes
DODGE Caliber,2.4,(4 cyl),Auto-AV,2WD,Gasoline,CA,U2,8CRXB0144M81,midsize car,7,21,25,23,7,yes
DODGE Caliber,2,(4 cyl),Auto-AV,2WD,Gasoline,FA,B5,8CRXB02.4ME0,midsize car,6,23,27,24,7,yes
DODGE Caliber,2,(4 cyl),Auto-AV,2WD,Gasoline,CA,L2,8CRXB02.4ME0,midsize car,6,23,27,24,7,yes
